prefix,photo0,t_first,t_last,lat0,lon0,ellh0,t_obs0,first_photo,gimbal_pitch,gimbal_roll,flight_pitch,speed0,rel_alt0,focus_mm0,fnumber0,iso0,firmware,irradiance0,ground0,geoid_n,agl_true0,temp_c,local_hour
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202504301138_001_3/,1,2025-04-30 17:41:52.009913+00:00,2025-04-30 18:09:53.091958+00:00,46.71155968,-114.04053764,1083.577,2025-04-30 17:40:54+00:00,DJI_20250430114150_0001_D.JPG,-89.9,0.0,-1.3,0.2,100.449,-1.0,2.8,220,11.08.02.02,4944.152,978.3541,-14.652,119.87487402343754,9.097780531413333,11.683333333333334
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202504301211_002_3/,1,2025-04-30 18:13:59.348973+00:00,2025-04-30 18:39:02.931001+00:00,46.70970861,-114.04147913,1083.609,2025-04-30 18:13:02+00:00,DJI_20250430121357_0001_D.JPG,-89.9,0.0,-6.0,0.223606797749979,100.491,-1.0,3.5,100,11.08.02.02,19966.107,970.08057,-14.652,128.18043359374997,9.679782991018667,12.216666666666667
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202504301241_003_3/,1,2025-04-30 18:45:40.003347+00:00,2025-04-30 19:02:36.526730+00:00,46.7153934,-114.0465803,1081.245,2025-04-30 18:44:49+00:00,DJI_20250430124537_0001_D.JPG,-89.9,0.0,-3.5,0.1,98.121,-1.0,3.2,100,11.08.02.02,13300.705,964.2502,-14.652,131.64681689453118,10.313334448981333,12.75
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011000_001_9/,1,2025-05-01 16:04:16.976337+00:00,2025-05-01 16:24:56.514620+00:00,46.68905898,-114.01682058,1301.786,2025-05-01 16:03:21+00:00,DJI_20250501100416_0001_D.JPG,-89.9,0.0,-1.3,0.7280109889280517,202.476,-1.0,3.2,110,11.08.02.02,11801.471,1195.641,-14.652,120.7970087890626,9.135626400028444,10.066666666666666
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011027_003_9/,1,2025-05-01 16:30:13.827790+00:00,2025-05-01 16:53:13.021868+00:00,46.69452924,-114.02132629,1245.208,2025-05-01 16:29:19+00:00,DJI_20250501103014_0001_D.JPG,-89.9,0.0,-9.2,0.28284271247461906,145.945,15371.0,3.2,100,11.08.02.02,12388.285,1152.3698,-14.652,107.49024902343763,9.95729800032,10.5
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011056_004_9/,1,2025-05-01 16:58:56.305582+00:00,2025-05-01 17:23:21.781347+00:00,46.700279,-114.02639651,1199.83,2025-05-01 16:58:01+00:00,DJI_20250501105856_0001_D.JPG,-89.9,0.0,0.6,0.14142135623730953,104.898,-1.0,3.2,100,11.08.02.02,14286.943,1105.693,-14.652,108.78900683593747,10.866383501653333,10.966666666666667
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011125_005_9/,1,2025-05-01 17:27:22.353937+00:00,2025-05-01 17:32:32.237252+00:00,46.69756136,-114.03203201,1162.792,2025-05-01 17:26:25+00:00,DJI_20250501112722_0001_D.JPG,-89.9,0.0,-3.1,0.2,67.891,-1.0,3.5,100,11.08.02.02,15323.926,1054.5046,-14.652,122.93936132812496,11.675556025756444,11.45
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011208_006_19/,1,2025-05-01 18:13:34.386870+00:00,2025-05-01 18:33:11.376264+00:00,46.67586446,-114.01528961,1220.439,2025-05-01 18:12:39+00:00,DJI_20250501121333_0001_D.JPG,-89.9,0.0,-11.9,0.6324555320336759,42.105,-1.0,4.0,110,11.08.02.02,15811.967,1116.9285,-14.652,118.16253320312512,12.871462290005333,12.216666666666667
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011235_008_19/,1,2025-05-01 18:38:00.841270+00:00,2025-05-01 19:04:42.572454+00:00,46.66901706,-114.01022107,1189.155,2025-05-01 18:37:09+00:00,DJI_20250501123800_0001_D.JPG,-90.0,180.0,-2.2,0.223606797749979,10.816,-1.0,3.5,110,11.08.02.02,16430.205,1075.7119,-14.652,128.09508593750002,13.360280423338667,12.633333333333333
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011307_010_19/,1,2025-05-01 19:10:49.643024+00:00,2025-05-01 19:27:51.888909+00:00,46.66439038,-114.00293327,1264.882,2025-05-01 19:09:59+00:00,DJI_20250501131048_0001_D.JPG,-90.0,180.0,-4.7,0.223606797749979,86.513,-1.0,4.0,110,11.08.02.02,17948.568,1158.1671,-14.652,121.3668857421876,13.944365116416,13.166666666666666
