prefix,year,season,label,folder,date,drone_serial,camera_serial,frames,photos,start_utc,edge_px,fine_detail,wide_share,fnumber,focus_mm,focus_finite_share,focus_values,drone,soft
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202504301138_001_3/,2025,spring,M3M-blue,DJI_202504301138_001_3,20250430,1581F5FK324BE00CS1SX,493OL944AB0594,20,836,2025-04-30 17:43:32.430240+00:00,3.8053214237141413,0.486907035112381,0.4,2.8,,0.0,1,blue,True
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202504301211_002_3/,2025,spring,M3M-blue,DJI_202504301211_002_3,20250430,1581F5FK324BE00CS1SX,493OL944AB0594,20,748,2025-04-30 18:15:31.680571+00:00,2.902058414550346,0.7573737502098083,0.0,2.8,,0.0,1,blue,False
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202504301241_003_3/,2025,spring,M3M-blue,DJI_202504301241_003_3,20250430,1581F5FK324BE00CS1SX,493OL944AB0594,20,506,2025-04-30 18:46:48.262315+00:00,2.991527609319539,0.4499166011810303,0.0,3.75,,0.0,1,blue,False
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011000_001_9/,2025,spring,M3M-blue,DJI_202505011000_001_9,20250501,1581F5FK324BE00CS1SX,493OL944AB0594,20,615,2025-05-01 16:05:35.412059+00:00,3.229171886185581,0.8902438879013062,0.0,3.2,,0.0,1,blue,False
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011027_003_9/,2025,spring,M3M-blue,DJI_202505011027_003_9,20250501,1581F5FK324BE00CS1SX,493OL944AB0594,20,686,2025-05-01 16:31:40.125064+00:00,3.8009670877742714,0.6029203832149506,0.5,3.2,15371.0,1.0,1,blue,True
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011056_004_9/,2025,spring,M3M-blue,DJI_202505011056_004_9,20250501,1581F5FK324BE00CS1SX,493OL944AB0594,20,729,2025-05-01 17:00:26.644235+00:00,2.9447125483542926,1.433091402053833,0.0,3.2,,0.0,1,blue,False
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011125_005_9/,2025,spring,M3M-blue,DJI_202505011125_005_9,20250501,1581F5FK324BE00CS1SX,493OL944AB0594,20,155,2025-05-01 17:27:54.365484+00:00,2.9932644158067303,1.271105408668518,0.0,3.5,,0.0,1,blue,False
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011208_006_19/,2025,spring,M3M-blue,DJI_202505011208_006_19,20250501,1581F5FK324BE00CS1SX,493OL944AB0594,20,559,2025-05-01 18:14:46.528858+00:00,3.0369088736266274,1.153678297996521,0.0,4.0,,0.0,1,blue,False
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011235_008_19/,2025,spring,M3M-blue,DJI_202505011235_008_19,20250501,1581F5FK324BE00CS1SX,493OL944AB0594,20,644,2025-05-01 18:39:26.553356+00:00,3.33699825527115,0.8566224873065948,0.2,4.0,,0.0,1,blue,False
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011307_010_19/,2025,spring,M3M-blue,DJI_202505011307_010_19,20250501,1581F5FK324BE00CS1SX,493OL944AB0594,20,490,2025-05-01 19:11:55.907680+00:00,3.1141306649910403,1.1521855592727661,0.0,4.0,,0.0,1,blue,False
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021009_011_11/,2025,spring,M3M-blue,DJI_202505021009_011_11,20250502,1581F5FK324BE00CS1SX,493OL944AB0594,20,559,2025-05-02 16:13:08.116567+00:00,3.2999400868620192,0.580905944108963,0.05,2.8,,0.0,1,blue,False
surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021047_012_11/,2025,spring,M3M-blue,DJI_202505021047_012_11,20250502,1581F5FK324BE00CS1SX,493OL944AB0594,20,35,2025-05-02 16:49:51.839952+00:00,3.019413970786065,0.4385584592819214,0.0,2.8,,0.0,1,blue,False
