year,season,label,folder,prefix,photos,first,last,date,duplicate_of
2025,spring,M3M-blue,DJI_202504301138_001_3,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202504301138_001_3/,836,20250430114150,20250430120951,20250430,
2025,spring,M3M-blue,DJI_202504301211_002_3,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202504301211_002_3/,748,20250430121357,20250430123901,20250430,
2025,spring,M3M-blue,DJI_202504301241_003_3,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202504301241_003_3/,506,20250430124537,20250430130234,20250430,
2025,spring,M3M-blue,DJI_202505011000_001_9,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011000_001_9/,615,20250501100416,20250501102456,20250501,
2025,spring,M3M-blue,DJI_202505011000_002,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011000_002/,1,20250501102458,20250501102458,20250501,
2025,spring,M3M-blue,DJI_202505011027_003_9,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011027_003_9/,686,20250501103014,20250501105313,20250501,
2025,spring,M3M-blue,DJI_202505011056_004_9,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011056_004_9/,729,20250501105856,20250501112322,20250501,
2025,spring,M3M-blue,DJI_202505011125_005_9,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011125_005_9/,155,20250501112722,20250501113232,20250501,
2025,spring,M3M-blue,DJI_202505011208_006_19,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011208_006_19/,559,20250501121333,20250501123310,20250501,
2025,spring,M3M-blue,DJI_202505011208_007,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011208_007/,1,20250501123312,20250501123312,20250501,
2025,spring,M3M-blue,DJI_202505011235_008_19,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011235_008_19/,644,20250501123800,20250501130442,20250501,
2025,spring,M3M-blue,DJI_202505011235_009,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011235_009/,1,20250501130445,20250501130445,20250501,
2025,spring,M3M-blue,DJI_202505011307_010_19,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011307_010_19/,490,20250501131048,20250501132751,20250501,
2025,spring,M3M-blue,DJI_202505021009_011_11,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021009_011_11/,559,20250502101156,20250502103238,20250502,
2025,spring,M3M-blue,DJI_202505021047_012_11,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505021047_012_11/,35,20250502104932,20250502105040,20250502,
