kind,drone_1,drone_2,prefix_1,photo_1,prefix_2,photo_2,year,season,dist_m,hours_apart,irradiance_1,irradiance_2,G_dn_1,G_dn_2,G_camera_1,G_camera_2,G_reflectance_1,G_reflectance_2,R_dn_1,R_dn_2,R_camera_1,R_camera_2,R_reflectance_1,R_reflectance_2,RE_dn_1,RE_dn_2,RE_camera_1,RE_camera_2,RE_reflectance_1,RE_reflectance_2,NIR_dn_1,NIR_dn_2,NIR_camera_1,NIR_camera_2,NIR_reflectance_1,NIR_reflectance_2,ok,why
cross,blue,green,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604301113_020_5/,346,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291051_018_10/,285,2026,spring,9.500795273359762,24.391226262777778,15871.219,13585.244,12976.0,14176.0,144.0489959716797,124.44853973388672,0.004528944380581379,0.004523368552327156,8576.0,9264.0,114.97598266601562,100.80874633789062,0.004401669837534428,0.004319202154874802,16864.0,17888.0,176.4555206298828,149.93765258789062,0.010663253255188465,0.010637993924319744,14752.0,16272.0,149.92137145996094,127.10784912109375,0.013817721046507359,0.014164414256811142,True,
cross,blue,green,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231200_006_5/,355,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231203_005_6/,93,2026,summer,6.710852355939019,0.1300962336111111,16581.418,16829.734,13328.0,13776.0,147.32916259765625,147.87435913085938,0.004433677531778812,0.004338656086474657,9536.0,9632.0,127.98348999023438,129.04852294921875,0.004735542461276054,0.004519116599112749,15728.0,15392.0,165.4346466064453,158.80384826660156,0.009934622794389725,0.009299304336309433,12800.0,12848.0,140.36932373046875,131.9065704345703,0.012743039056658745,0.012076647952198982,True,
cross,blue,green,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231301_009_1/,70,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231332_007_0/,186,2026,summer,11.091537001805763,0.5785578463888889,17358.77,17147.41,12576.0,13328.0,160.99842834472656,170.37423706054688,0.0046280683018267155,0.004906197544187307,8832.0,9312.0,158.92388916015625,171.5982666015625,0.005635011475533247,0.005886344239115715,15936.0,16096.0,187.150634765625,196.4239501953125,0.010646716691553593,0.01118355244398117,14080.0,14240.0,163.970947265625,165.66429138183594,0.013827359303832054,0.014518596231937408,True,
cross,blue,green,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231200_006_5/,347,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231203_005_6/,102,2026,summer,9.701731879284939,0.11968643166666666,16523.572,16550.832,14304.0,13328.0,173.73516845703125,163.6650390625,0.005246635526418686,0.004882875829935074,9520.0,9024.0,156.25823974609375,153.038330078125,0.00580217968672514,0.005452517420053482,15936.0,15152.0,163.85647583007812,153.4916534423828,0.009896425530314445,0.009144795127213001,13536.0,13632.0,133.86737060546875,127.81442260742188,0.012226849794387817,0.011894769966602325,True,
cross,blue,green,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011235_008_19/,84,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011230_007_15/,375,2025,spring,6.3757524610512135,0.09267430888888889,16826.129,17076.861,,,,,,,,,,,,,,,,,,,,,,,,,False,no registration
cross,blue,green,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604301141_021_5/,350,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291119_019_10/,324,2026,spring,9.438911168811185,24.389050028333337,15776.266,19603.992,13120.0,11088.0,135.2686309814453,80.79086303710938,0.004278484266251326,0.0020349668338894844,9040.0,7504.0,115.87278747558594,67.7624282836914,0.0044796522706747055,0.001986963674426079,15600.0,13024.0,130.67794799804688,75.52839660644531,0.008074997924268246,0.0036170720122754574,13664.0,11440.0,108.14568328857422,62.29281234741211,0.010288017801940441,0.0046672094613313675,True,
cross,blue,green,surveys/2025_front_country/fall/data_collection/M3M-blue/DCIM/DJI_202510101259_027_3/,211,surveys/2025_front_country/fall/data_collection/M3M-green/DCIM/DJI_202510101256_013_8/,423,2025,fall,11.732474620419971,0.053510251388888895,11214.494,11877.671,13312.0,13824.0,120.04869079589844,128.7777862548828,0.005341642070561647,0.0053536416962742805,8848.0,9008.0,108.19535827636719,117.85796356201172,0.0058847228065133095,0.005753426346927881,16384.0,16656.0,113.42926025390625,122.6809310913086,0.010281823575496674,0.010166341438889503,14432.0,15008.0,98.14730072021484,104.70431518554688,0.013105850666761398,0.013018488883972168,True,
cross,blue,green,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604301113_020_5/,345,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291051_018_10/,284,2026,spring,8.199809588855668,24.391204765555553,15292.658,15050.768,12800.0,15056.0,140.98849487304688,154.64663696289062,0.004600422456860542,0.005073660984635353,8624.0,10160.0,114.20628356933594,130.72071838378906,0.0045454311184585094,0.00500889727845788,15936.0,19216.0,162.34161376953125,187.03573608398438,0.010291694663465023,0.011801736429333687,13568.0,17200.0,135.67469787597656,156.0175018310547,0.013148775324225426,0.01538766548037529,True,
cross,blue,green,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505071217_021_2/,264,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505061203_004_6/,457,2025,spring,13.304377803465645,24.134963307777777,16933.109,17013.523,,,,,,,,,,,,,,,,,,,,,,,,,False,no registration
cross,blue,green,surveys/2025_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202507011210_006_19/,176,surveys/2025_front_country/summer/data_collection/M3M-green/DCIM/DJI_202507011213_014_15/,397,2025,summer,8.022470901984205,0.12994283916666666,17386.137,17819.75,,,,,,,,,,,,,,,,,,,,,,,,,False,no registration
